,stim_squence,violation_type,stimulus_id,b_val,d_val,batch_id,j_i,EIG,Look_away,mu_prior,v_prior,alpha_prior,beta_prior,epsilon,weig,n_sample
126,BBBBBD,animacy,0,1.41,-0.593,1306.842105263158,9.5,103.33684210526316,103.33684210526316,103.33684210526316,103.33684210526316,103.33684210526316,103.33684210526316,103.33684210526316,103.33684210526316,103.33684210526316
127,BBBBBD,animacy,0,1.55,-0.961,1509.0555555555557,9.5,100.85833333333333,100.85833333333333,100.85833333333333,100.85833333333333,100.85833333333333,100.85833333333333,100.85833333333333,100.85833333333333,100.85833333333333
128,BBBBBD,animacy,0,1.78,-0.58,1255.388888888889,9.5,103.38055555555556,103.38055555555556,103.38055555555556,103.38055555555556,103.38055555555556,103.38055555555556,103.38055555555556,103.38055555555556,103.38055555555556
129,BBBBBD,animacy,0,3.06,-0.504,1148.0,9.5,87.22333333333333,87.22333333333333,87.22333333333333,87.22333333333333,87.22333333333333,87.22333333333333,87.22333333333333,87.22333333333333,87.22333333333333
130,BBBBBD,animacy,1,-1.58,-0.0734,1256.0307262569831,9.474860335195531,9.164804469273744,9.164804469273744,9.164804469273744,9.164804469273744,9.164804469273744,9.164804469273744,9.164804469273744,9.164804469273744,9.164804469273744
131,BBBBBD,animacy,1,-1.55,0.996,1065.7563025210084,9.456582633053221,8.061624649859944,8.061624649859944,8.061624649859944,8.061624649859944,8.061624649859944,8.061624649859944,8.061624649859944,8.061624649859944,8.061624649859944
132,BBBBBD,animacy,1,-1.55,1.91,1430.4078212290503,9.5,7.837988826815643,7.837988826815643,7.837988826815643,7.837988826815643,7.837988826815643,7.837988826815643,7.837988826815643,7.837988826815643,7.837988826815643
133,BBBBBD,animacy,1,-1.39,1.03,1299.2944162436547,9.5,8.697969543147208,8.697969543147208,8.697969543147208,8.697969543147208,8.697969543147208,8.697969543147208,8.697969543147208,8.697969543147208,8.697969543147208
134,BBBBBD,animacy,1,-0.858,0.416,1554.0,9.497206703910615,9.061452513966481,9.061452513966481,9.061452513966481,9.061452513966481,9.061452513966481,9.061452513966481,9.061452513966481,9.061452513966481,9.061452513966481
135,BBBBBD,animacy,1,0.677,-0.658,1633.8902821316615,9.470219435736677,9.304075235109718,9.304075235109718,9.304075235109718,9.304075235109718,9.304075235109718,9.304075235109718,9.304075235109718,9.304075235109718,9.304075235109718
136,BBBBBD,animacy,1,1.41,-0.593,1306.842105263158,9.5,11.534210526315789,11.534210526315789,11.534210526315789,11.534210526315789,11.534210526315789,11.534210526315789,11.534210526315789,11.534210526315789,11.534210526315789
137,BBBBBD,animacy,1,1.55,-0.961,1506.9078212290503,9.488826815642458,10.310055865921788,10.310055865921788,10.310055865921788,10.310055865921788,10.310055865921788,10.310055865921788,10.310055865921788,10.310055865921788,10.310055865921788
138,BBBBBD,animacy,1,1.78,-0.58,1254.4129213483145,9.50561797752809,10.117977528089888,10.117977528089888,10.117977528089888,10.117977528089888,10.117977528089888,10.117977528089888,10.117977528089888,10.117977528089888,10.117977528089888
139,BBBBBD,animacy,1,3.06,-0.504,1148.0,9.5,12.403333333333334,12.403333333333334,12.403333333333334,12.403333333333334,12.403333333333334,12.403333333333334,12.403333333333334,12.403333333333334,12.403333333333334
140,BBBBBD,animacy,2,-1.58,-0.0734,1255.4621848739496,9.473389355742297,7.23249299719888,7.23249299719888,7.23249299719888,7.23249299719888,7.23249299719888,7.23249299719888,7.23249299719888,7.23249299719888,7.23249299719888
141,BBBBBD,animacy,2,-1.55,0.996,1065.7563025210084,9.456582633053221,6.591036414565826,6.591036414565826,6.591036414565826,6.591036414565826,6.591036414565826,6.591036414565826,6.591036414565826,6.591036414565826,6.591036414565826
142,BBBBBD,animacy,2,-1.55,1.91,1431.579831932773,9.484593837535014,6.285714285714286,6.285714285714286,6.285714285714286,6.285714285714286,6.285714285714286,6.285714285714286,6.285714285714286,6.285714285714286,6.285714285714286
143,BBBBBD,animacy,2,-1.39,1.03,1300.1882951653945,9.524173027989821,6.982188295165394,6.982188295165394,6.982188295165394,6.982188295165394,6.982188295165394,6.982188295165394,6.982188295165394,6.982188295165394,6.982188295165394
144,BBBBBD,animacy,2,-0.858,0.416,1554.6610644257703,9.518207282913165,7.431372549019608,7.431372549019608,7.431372549019608,7.431372549019608,7.431372549019608,7.431372549019608,7.431372549019608,7.431372549019608,7.431372549019608
145,BBBBBD,animacy,2,0.677,-0.658,1633.8902821316615,9.470219435736677,7.087774294670846,7.087774294670846,7.087774294670846,7.087774294670846,7.087774294670846,7.087774294670846,7.087774294670846,7.087774294670846,7.087774294670846
146,BBBBBD,animacy,2,1.41,-0.593,1303.7037037037037,9.465608465608465,7.727513227513228,7.727513227513228,7.727513227513228,7.727513227513228,7.727513227513228,7.727513227513228,7.727513227513228,7.727513227513228,7.727513227513228
147,BBBBBD,animacy,2,1.55,-0.961,1505.952380952381,9.492997198879552,7.106442577030812,7.106442577030812,7.106442577030812,7.106442577030812,7.106442577030812,7.106442577030812,7.106442577030812,7.106442577030812,7.106442577030812
148,BBBBBD,animacy,2,1.78,-0.58,1254.4129213483145,9.50561797752809,7.553370786516854,7.553370786516854,7.553370786516854,7.553370786516854,7.553370786516854,7.553370786516854,7.553370786516854,7.553370786516854,7.553370786516854
149,BBBBBD,animacy,2,3.06,-0.504,1148.0,9.5,7.476666666666667,7.476666666666667,7.476666666666667,7.476666666666667,7.476666666666667,7.476666666666667,7.476666666666667,7.476666666666667,7.476666666666667
150,BBBBBD,animacy,3,-1.58,-0.0734,1255.4621848739496,9.473389355742297,6.277310924369748,6.277310924369748,6.277310924369748,6.277310924369748,6.277310924369748,6.277310924369748,6.277310924369748,6.277310924369748,6.277310924369748
151,BBBBBD,animacy,3,-1.55,0.996,1065.7563025210084,9.456582633053221,5.88515406162465,5.88515406162465,5.88515406162465,5.88515406162465,5.88515406162465,5.88515406162465,5.88515406162465,5.88515406162465,5.88515406162465
152,BBBBBD,animacy,3,-1.55,1.91,1431.579831932773,9.484593837535014,5.624649859943977,5.624649859943977,5.624649859943977,5.624649859943977,5.624649859943977,5.624649859943977,5.624649859943977,5.624649859943977,5.624649859943977
